Text,Sentiment
I am not able to recharge the band. Kindly advise how to return the product,negative
bad product dont buy its waste of money,negative
"Sound quality and functionality is good, looking for more apps or devices sync soon.",positive
so bad clothes,negative
im writing this after a month using not at all fine totally waste for money not grinding well after calling butterfly customer care center they didnt replaced this,negative
if you are planning to buy this product please reconsider i had a very bad experience the item stopped working on 5th dayupdate i have given the faulty item for replacement and the replacement seems to be working thanks to flipkart return policy,negative
Phone is awesome no doubt but only one thing didnt liked that is android one i like MIUI but phone is best in this price,positive
very bad product only last for 6 months,negative
items were broken and scratced,negative
Excellent but not android.... so you want beautiful picture quality go for it,positive
So far its good,positive
Every thing is Best Except Camera is very poor (not 48 MP its only 16 MP Like) Battery is best Facelock and fingerprint supperb,neutral
this sandal was very bad quality,negative
i ordered this oven after reading the specs of big size and 250degree c temperature with 1800 watt consumption as i love to bake my own pizza and a pizza is baked at high temperatureunfortunately the oven thermostat is not tuned good at 250 degree it only reaches 170 degree in 5 mins only of the starting the rod get cuts off so this temperature is good for cookies cakes and breads but not good for pizza and tikkasi am very disheartened as even i researched so much to get an,negative
tab is ok ok coz camera quality is bad battery backup is also not so good but design is good very slim and sensitive cover is must touch working well only wifi,negative
Mobile bill missing in the packet. I need my mobile bill.,negative
Nice 👌,positive
good not,neutral
ever green osam paint,neutral
need bowl set of six with this productbig bowl,neutral
"I didnt like the sound quality. Also, the earplug keeps coming out of my ears :| . Not my choice.",neutral
Good phone in this price,positive
i want to exchange this item,negative
product is good but its getting heat where as microtek inverters are not getting this much heat,neutral
i have been received defective product,negative
Thik thak,neutral
worth buying,positive
the product is not working cannot connect with bluetooth also,neutral
This phone is not worth for 17k amount as features also not good,negative
Finger print was good camera was zoom not pic.bettry is one day life 4-5 hr,neutral
"Must have book for all students who r preparing for cse, who won't like such a wast info in a very organised Manner n in a single book, updated, I loved it..",positive
Best mobile by Amazon in less price all best function of mobile are available,positive
after 4 months chimney started weeping sound most disgusting product ever purchased from flipkart,negative
good quality but pockets are a bit torn,negative
"the fridge is good for small family and overall the cooling and body is good. But one thing which made me disappointed is the quality of the inner basket and ice tray. just to save some bucks you guys compromise on the quality of the basket and ice tray, also you provide only single ice tray of very small size which is useless, i need to buy one good ice tray for me... please do not compromise just to save few coins...",neutral
This is very bad product because I brought in Apr 2019 and now SEP 2019 this is not working. So pls request don't buy above mentioned subject,negative
good performance but charging wire missing in the box,negative
Very good product overall,positive
whest product,negative
shaking,negative
writing after using two months good product but some time remote completely not working have to use my mobile to turn off and on again on start lagging always u hv to wait for some time and now screen blinking start suddenly and its continue blinking you hv to restart again wifi range is also weak,negative
Samsung bulid quality is good....,positive
Above average.....,neutral
All are Excellent,positive
quality is just ok,neutral
It’s built quality is worthy. I purchased that wire from amazon of 129₹ And it’s superb,positive
third class quality very bed service vry vry poor,negative
same as shown in the figure but quality is poorstitchings are not goodnot good for carrying heavy substances,negative
All subjects are good,positive
"Writing review after one week on Usage, bought it on Paytm with 1600 cashback, so i got it for 6500 and regarding the performance of this speaker, it's a legend w.r.t performance given it's size and price, it's worth every penny, blindly go for it .",positive
dont best your monny this is verry bad proudect,negative
kettle is good but the main problem is its lid which do not remain open while we try to fill it,neutral
very poor faibar,negative
thats like ok product,neutral
An excellent TV to purchase.. Excellent data feedback,positive
its hair is very flufy,neutral
My first DSLR and I am happy with this product.The best beginners level DSLR in the market,positive
product is good and good lookingsmart beautyful and also very good work smartlybut jeevas service is very bad manners and bad service,neutral
More camera options would be better.,positive
Camera quality is awesome......Fingerprint is good but take some seconds..........You can use the device upto 1 day........,positive
It is only good at security feature but not as good as over all Android smart phone.,positive
Face unlock is not good as compare to finger print sensor.,neutral
gets heated,negative
"Display of this laptop could not be better. However battery can be improved. If you turn on the hybrid mode then battery will last longer. Touchpad feels good though it is smaller than most of the laptops. Camera quality is between average to good.but you cannot use camera while typing. Your fingers will definitely come in between. Unless you put the screen in really uncomfortable position. Also you cannot expect greater sound from gaming laptop however dolby sound is used here. My laptop came with drivers file already placed in D drive. Keypad feels good while typing. This laptop falls on the heavier side. Lastly the looks , completely professional look on the outside and devil in the inside. You can surely go for it. Don't forget to claim your warranty(1 year) when you purchase it.",positive
"I don't have to describe because Everyone knows that iPhones are iPhones they are fabulous. The only thing I have to say that it's High stainless steel getting scratches very easily, So tale care of ur expensive iPhone.",positive
Faced alot of issue in getting it installed. Mi support team and their free installation is of no use.,neutral
NYC product,positive
thank you flipkart for this product its always protect me for heavy weight but one thing please improve yours sticking part,neutral
very small in size waste,negative
"Watch faces, wireless charging are the main attraction points... overall good watch in this price range....",positive
Not Good not bad,negative
"So, how do I start. Everything in this mobile is great. What surprised me is that all these features came in an aggressive pricing and made by Samsung. Firstly, the looks. It looks so slim even as it holds a massive 6000 mAh battery. I am a normal user and battery have me nearly two days, which is great. Rating 5/5 Performance wise there are no lags or Grange drop. Rating 5/5 Camera is excellent. I took few shots which came out amazing. A little bit improvement is needed, but even as of now this is cool. I am already using M20, but this is far better, which have some decent shots. Night mode is great and image shows a lots of details. Wide shots are more wider compared to M20 and image quality is also a lot better. I have also recorded a super slow motion video of reason and just looks amazing. We can see every single drop off rain in the video. Night images with flash came out great. I cannot say anything about daylight photos. These images are just out of thought. Images look so sharp and clear. Closeup shots looks great. It would be good if macro feature is also available. Rating 5/5 Coming to display, in one word, Superb. Screen is massive and looks good in hand Touch is buttery smooth. No one would say anything about Samsung's AMOLED display. Its just great. Rating 5/5. Sound is crystal clear and loud enough. Rating 5/5 No heating issues yet as I am not a heavy gamer. Overall, this is beast mobile on an aggressive pricing from Samsung. I am very much happy with the purchase. Overall rating 5/5.",positive
quality is not good got torn in first wash,negative
"This needs no comments. If you are here, you can close eyes and buy it if its in your budget.",positive
Battery backup is good but takes a lot of time to charge. Efficiency=40%. Also at high volume sound distortion is there. Rest ok.,positive
phone is heated farther,neutral
great phone for daily usage! gaming is ok! camera ok! My honest opinion add 3000 rs more and go with realme 1 it is great phone for price!,positive
It's hard to believe that company like Samsung will have that much issue with battery life. I selected this handset only because there is a battery of 5000 mah but it's just for showcasing but reality is it lasts only a day and drains too early like a 2-3 yrs used phone which is very disappointing.,neutral
"Camera quality very good,, Fingerprint reader no response quickly Battery life good",neutral
Received genuine product,positive
vary nice dry lron,neutral
Superb product.. U ll b happy to have this.... Nice sound quality..awsome experience,positive
its not in free size its in small in size its not suitable for adults it suitable for kids who are in 8 to 12 years and poor in quality,negative
clarity is not there in display fully dull,negative
1.Heating problem while charging and on little bit long usage. 2. Camera picture quality is not upto the mark and does not suit to tripple camera and 48 Mega pixel feature. 3. Network reception is also poor fluctuates frequently. 4. Screenshare session does not allow screen on monile whereas it should happen on both. 5. Proximate sensor not effective enough.,negative
Worth every penny. Best choice in the price range. Sound quality is good. Portable size.,positive
Monster by specification ! Battery backup can be managed by fast 30t warp charge..50-60 min→0 to 100% charge !,positive
I am happy to share my experience or reviews with you all that Samsung M30S Galaxy have super features and easy to access and handy.... Its design and looks awesome Premium looks Worth of money Thanks to Samsung for this quality product And thanks to AMAZON ONLINE SHOPPING for availability of such products... I wish for both to reach the high peak in market,positive
not very good quality but its ok,neutral
not suggestions 30 product,neutral
nice product but not the best i found average copy speed 72mbps and some times it touches 102mbps,neutral
flipkart my return or replacement not exepted,neutral
ramjan ok,neutral
Got the original one. 1.5 years passed and no problem with it.,positive
One of the best motivational and inspiring books.Worth every penny!!,positive
"I recently bought this product and didn't use it for a week. After the full charge, I am unable to use it for two mobiles. Do not know what was the issue. It was delivered on time. Now it is working for one-time charge and unable to use more than one time. Do not know how to reach out vendor. Please help",negative
quantity of rice at measure give a small bowel intime taken on cooking,neutral
"I got it on 16 feb 2019, looks so nice, headset is not there in the package.",neutral
chp quality material,neutral
average,neutral
I like this product very much...,positive
product is good but installation service not good,negative
product didnt work after 2 time replacement also,negative
less than one monthmoter automatically burnno replacement gurantee,neutral
as expected,neutral
Bought it on 3rd of may 19. Working good till now..but it doesn't have a inbuilt stabilizer as mentioned here whirpool engineer told me to install separately So I bought a stabilizer too. Overall Good product at this price..will update further.,positive
"Product was good, but got a defect in camera lens. Even though i got camera replaced from a planet care store, but still i never expected this from an apple product. This was my first apple product & probably my last.",positive
cloth is nice but size is small,neutral
"Not so much impressive camera quality also not good in low light, in room photography, Sound quality is good , not that much smooth performance in gaming like PUBG I Will advice to buy Redmi note 5 pro, Redmi note 6 pro instead of redmi 6 pro 👍🏻👍🏻👍🏻",neutral
Very good phone . Velie for money But I can't play pubg in hd graphics.why?,positive
do t buy this product its bad,negative
product is not bad but the quality of the iron is too bad,neutral
its not a best quality harmful due to rod heat and all the body also heat need to be very careful,negative
Camera experience was simply superb Battery life managble Screen quality excellent,positive
Samsung M10 is very good phone.but features is too old version.nothing new Camera very bad quality. Just only new name... features same☹☹,neutral
dont buy this cheap productafter 8 months this product malfunctionedi cant get any proper address or phone to claim the warrantystupid fellows,negative
Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities. ,neutral
serves the purpose,positive
It takes a long time to charge but it's a good product if you are travelling,positive
Product is not good as expected. Quality of sound is low,negative
Display clarity very poor.... Brightness very low,neutral
"Phone bad so many applications/function not available call regarding,call block function, application lock,call rejected function, application problem etc I think this phone so bad but price is high.do not purchase this model.",negative
quality is very thin,neutral
"Bought this TV for home use, TV isn't installed by Mi technicians inspite of reminders. Follow up continued for a month, just to hear from Mi that the free installation should have been done within 15 days of purchase. Neither Amazon owns the responsibility nor Mi.",negative
not suitable for iphone,negative
product and packing is not gooddont buy your money will waste,negative
queshan pillo not very good,negative
West,negative
Good mobile but size is bit small as to typesomethibg at that time face the problem otherwise value for money....,neutral
Nice and durable product.,positive
sound quality low problem,negative
"The camera quality is really good, Samsung gives u 48mp with triple camera at rear,and 16mp in front camera. And battery life is damn good,once u charge u can easily use till 2days. And screen quality is good. And the thing I love is Samsungs fancy themes,they are fun to use. And I have buyed this phone at only 11.5k on Amazon sale🙃",positive
Got it at 39k. Worth it.,positive
It does not charge fast and is not compatible with many phone. Takes a lot time to charge. I used another usb chord with the same adapter and it charged fast comparatively with this one. A first product of Boat which I do not recommend to purchase. Money wastage,negative
material is law,neutral
meets expectation,neutral
Best phone to buy,positive
average product and not much spacy relatively price is too high for these should be around hundred,neutral
It's awesome...,positive
Battery is dying very fast after 2months of use,neutral
"Excellent piece of a product, combination of art and technology.",positive
better but not best,neutral
really good but the installation is worst they took 2 weeks to install,negative
Highly satisfied with Smazon purchase,positive
very smooth an speed also slownot big room onley small room fet,neutral
"Weak device , camera quality is so dumb, started hanging afger 3 months, fingerprint also not working sometimes. Worst buy pls don't consider this mobile....",neutral
worst product no one can solve my problem,negative
"As of now the phone is pretty good since it's an 2gb ram I needed just a spare phone to make calls,if your into gaming I would suggest you buying a phone with bigger ram and faster processor.",positive
Aj 24 din hogaya h ise phn ko liya Front camera was too good 😯 Back camera is not satisfied 🤐 And I have 3 gb ram 32 gb it's to slow . There is no flash light option when notification or incoming calls ... And one major problem is battery backup.,positive
waist of money no bass effect normal sound,negative
not as expected not so good,negative
product failure under one year no service support from bajaj and flipkart,negative
excellent productvalue for money but the cookbook was not presenthad a good cooking experience with it,negative
"Well , I received it the next day which is wonderful. Nice packaging and all but the product.. It feels good. It looks but it doesn't work good. The sound quality is average , when I tried different equalizers through my phone or pc I couldn't find any difference between this ₹600 earphones and free Samsung earphones. The fitting it nice and easy and comfy but the sound the bass are disappointing. I prefer to raise your budget and buy sennheiser products. They will always amaze you",neutral
colour is not good as i expected,negative
currently using this speed is okie,neutral
bad sir wifi doenot work,negative
amazing product,positive
I never thought that Amazon such a reputed company also do fraud with customer..as I have opened the package in presence of delivery boy ( having video with me) and have found tennis ball instead..I shocked and surprised after watching with whole episode ..I don't know who involved in this fraud but it's really pathetic to have faith on such a brand ...please take action .gonna upload the video on social media too...shame on such frogery sir..I really respect this brand but have lost all faith ..,negative
dont buy this product waste of money i am very disappointed,negative
Awesome product and delivery !!!!,positive
defective product phone charging stops at 70,negative
